"LU","LU1_Desc"
"U111","Agriculture (excluding fallow land and kitchen gardens)"
"U112","Fallow land"
"U113","Kitchen gardens"
"U120","Forestry"
"U140","Mining and quarrying"
"U150","Other primary production"
"U210","Energy production"
"U311","Railway transport"
"U312","Road transport"
"U313","Water transport"
"U317","Logistics and storage"
"U318","Protection infrastructures"
"U319","Electricity, gas and thermal power distribution"
"U321","Water supply and treatment"
"U330","Construction"
"U341","Commerce"
"U342","Financial, professional and information services"
"U350","Community services"
"U361","Amenities, museum, leisure (e.g. parks, botanical gardens)"
"U362","Sport"
"U370","Residential"
"U411","Abandoned industrial areas"
"U413","Abandoned transport areas"
"U414","Abandoned residential areas"
"U415","Other abandoned areas"
"U420","Semi-natural and natural areas not in use"
